,geometry,ev_stations_counts,ev_stations_geometries,parking_counts,restaurant_counts,library_counts,university_counts,school_counts,park_counts,cinema_counts,place_of_worship_counts,retail_counts,commercial,nodes,edges,road_density,pop_density
54,"POLYGON ((2.312551752 48.83481561111111, 2.312551752 48.82519555555556, 2.302726224 48.82519555555556, 2.302726224 48.83481561111111, 2.312551752 48.83481561111111))",3,"[[<POINT (2.309 48.834)>], [<POINT (2.305 48.832)>], [<POINT (2.306 48.835)>]]",5,33,1,0,5,9,0,2,2,0,86,155,0.021203830369357045,46.65524687517182
55,"POLYGON ((2.312551752 48.82519555555556, 2.312551752 48.82261496787381, 2.3115241 48.8228466, 2.3102584 48.8231257, 2.308423 48.823528, 2.3068117 48.8238869, 2.3065022 48.8239536, 2.3063461 48.8239892, 2.305836 48.8241053, 2.3043778 48.8244361, 2.304123 48.8244931, 2.304044 48.824512, 2.3040036 48.8245201, 2.3039805 48.8245257, 2.302726224 48.82481373817039, 2.302726224 48.82519555555556, 2.312551752 48.82519555555556))",0,[],0,0,0,0,1,0,0,0,0,0,10,10,0.1111111111111111,39.82643235730695
56,"POLYGON ((2.312551752 48.897821674117644, 2.3130853 48.8979786, 2.3134019 48.8980717, 2.3152945 48.8986503, 2.316169 48.8989407, 2.3185323 48.8996333, 2.3187182 48.8997442, 2.319099 48.8999762, 2.3198901 48.9004581, 2.3202377 48.9006804, 2.3203576 48.9007571, 2.3213034 48.9007949, 2.3222857 48.9008264, 2.32237728 48.9008294185615, 2.32237728 48.89253594444444, 2.312551752 48.89253594444444, 2.312551752 48.897821674117644))",0,[],1,28,0,0,9,3,0,2,0,0,48,79,0.0350177304964539,66.67623692112083
57,"POLYGON ((2.32237728 48.89253594444444, 2.32237728 48.88291588888889, 2.312551752 48.88291588888889, 2.312551752 48.89253594444444, 2.32237728 48.89253594444444))",4,"[[<POINT (2.315 48.886)>], [<POINT (2.321 48.885)>], [<POINT (2.313 48.883)>], [<POINT (2.316 48.888)>]]",7,146,2,0,10,2,0,3,12,0,93,164,0.01916783543712015,66.97403848321119
58,"POLYGON ((2.32237728 48.88291588888889, 2.32237728 48.87329583333333, 2.312551752 48.87329583333333, 2.312551752 48.88291588888889, 2.32237728 48.88291588888889))",5,"[[<POINT (2.321 48.881)>], [<POINT (2.32 48.883)>], [<POINT (2.32 48.883)>], [<POINT (2.321 48.882)>], [<POINT (2.313 48.88)>]]",0,119,1,2,15,3,0,1,4,1,107,196,0.017280902839005467,23.859903288973605
59,"POLYGON ((2.32237728 48.87329583333333, 2.32237728 48.86367577777778, 2.312551752 48.86367577777778, 2.312551752 48.87329583333333, 2.32237728 48.87329583333333))",0,[],29,32,0,0,1,6,0,1,11,1,56,94,0.03051948051948052,19.350713597457794
60,"POLYGON ((2.32237728 48.86367577777778, 2.32237728 48.85405572222222, 2.312551752 48.85405572222222, 2.312551752 48.86367577777778, 2.32237728 48.86367577777778))",9,"[[<POINT (2.315 48.859)>], [<POINT (2.315 48.856)>], [<POINT (2.319 48.859)>], [<POINT (2.319 48.859)>], [<POINT (2.319 48.859)>], [<POINT (2.319 48.859)>], [<POINT (2.319 48.859)>], [<POINT (2.319 48.859)>], [<POINT (2.315 48.856)>]]",6,19,1,0,2,5,0,3,1,0,48,92,0.040780141843971635,24.54400282595162
61,"POLYGON ((2.32237728 48.85405572222222, 2.32237728 48.84443566666667, 2.312551752 48.84443566666667, 2.312551752 48.85405572222222, 2.32237728 48.85405572222222))",1,[[<POINT (2.315 48.848)>]],0,53,0,0,15,4,0,6,2,1,64,125,0.031001984126984128,30.767013912651098
62,"POLYGON ((2.32237728 48.84443566666667, 2.32237728 48.83481561111111, 2.312551752 48.83481561111111, 2.312551752 48.84443566666667, 2.32237728 48.84443566666667))",3,"[[<POINT (2.321 48.843)>], [<POINT (2.313 48.842)>], [<POINT (2.322 48.839)>]]",10,105,2,1,11,6,0,3,7,0,75,117,0.02108108108108108,49.990346418732955
63,"POLYGON ((2.32237728 48.83481561111111, 2.32237728 48.82519555555556, 2.312551752 48.82519555555556, 2.312551752 48.83481561111111, 2.32237728 48.83481561111111))",2,"[[<POINT (2.32 48.832)>], [<POINT (2.32 48.831)>]]",10,78,0,0,14,9,1,1,7,1,90,128,0.015980024968789013,40.151823983573095
